Krig33	Avg33
0	0.000529531	0.000608217
1	0.000510701	0.000512083
2	0.000421308	0.000427786
3	0.000287276	0.00040995
4	0.000267518	0.000339175
5	0.000369863	0.000318403
6	0.00039713	0.000442219
7	0.000530695	0.00052914
8	0.00063702	0.000564936
9	0.000725091	0.000686241
10	0.000784026	0.000706598
11	0.000596064	0.000614897
12	0.000450112	0.000517281
13	0.000526677	0.000553815
14	0.000687608	0.000520356
15	0.000486465	0.000619578
16	0.000639289	0.000555888
17	0.000252765	0.000480158
18	0.000635797	0.000486715
19	0.000492071	0.000420424
20	0.000547249	0.000533698
21	0.001059782	0.00092842
22	0.000823168	0.000968563
23	0.000259527	0.000547758
24	0.000805454	0.000751597
25	0.00069891	0.00074892
26	0.000696025	0.000704281
27	0.000552307	0.000645979
28	0.00059716	0.000574219
29	0.000567222	0.000639615
30	0.000559172	0.000622191
31	0.000461087	0.000499862
32	0.000989462	0.000904906
33	0.000502876	0.0006023
34	0.000387629	0.000422499
35	0.000539877	0.000551777
36	0.00042639	0.000528226
37	0.000503215	0.0005014
38	0.000958493	0.000842549
39	0.000596961	0.000714282
40	0.00050884	0.000503627
41	0.000841319	0.000756166
42	0.000789744	0.000801316
43	0.000711729	0.000691992
44	0.000643268	0.000648282
45	0.000319339	0.000410956
46	0.000480809	0.000416584
47	0.000686035	0.000557719
48	0.000420446	0.000391635
49	0.000653917	0.000577174
50	0.000559884	0.000492298
51	0.000260953	0.000407882
52	0.000621067	0.000789886
53	0.001586117	0.00169769
54	0.001378375	0.001504704
55	0.000840635	0.000819784
56	0.000591745	0.000578078
57	0.000598533	0.000666985
58	0.000434408	0.000567133
59	0.00071191	0.000584643
60	0.000706208	0.00055576
61	0.00052526	0.000527374
62	0.000575719	0.000536102
63	0.000416747	0.000396906
64	0.001285017	0.00118086
65	0.001020393	0.000843826
66	0.000407539	0.000477974
67	0.000561674	0.000549288
68	0.000544301	0.000529797
69	0.000540637	0.00059178
70	0.001089002	0.000819221
71	0.000410715	0.000469281
72	0.000552649	0.000526282
73	0.000509111	0.000595175
74	0.00070582	0.000742626
75	0.000787416	0.000730156
76	0.000792955	0.000680402
77	0.000543731	0.000558216
78	0.00052793	0.000539645
79	0.000555755	0.000565568
80	0.00050576	0.000507547
81	0.000772391	0.000648191
82	0.000482915	0.000504183
83	0.000105174	0.0002994
84	0.000798633	0.001087112
85	0.002082016	0.002043609
86	0.002125029	0.002061611
87	0.000755909	0.000974251
88	0.000455652	0.000591392
89	0.00088002	0.000598346
90	0.000705686	0.000699736
91	0.00031683	0.00047873
92	0.000446016	0.000340508
93	0.000446128	0.000457593
94	0.000459662	0.000462957
95	0.000384802	0.000397412
96	0.001061835	0.001016168
97	0.000602972	0.000630557
98	0.000632965	0.000588967
99	0.000645518	0.000554325
100	0.000520549	0.000445473
101	0.000714213	0.000478443
102	0.000202037	0.000517993
103	0.000255611	0.000361233
104	0.000577394	0.000406588
105	0.000356618	0.000417983
106	0.000488549	0.000587209
107	0.000454757	0.000634626
108	0.000664539	0.000640286
109	0.000526666	0.00059035
110	0.00056695	0.000561711
111	0.00043204	0.000454857
112	0.00037837	0.000376984
113	0.000652894	0.000586905
114	0.000535255	0.000441777
115	0.001076522	0.000663879
116	0.001179604	0.001392999
117	0.001888812	0.001955231
118	0.002066313	0.002036202
119	0.001140376	0.001331032
120	0.000566515	0.00059273
121	0.000613861	0.000623299
122	0.000601742	0.000632691
123	0.000625218	0.000600232
124	0.000522411	0.000553204
125	0.00041609	0.000414506
126	0.000299515	0.000386179
127	0.000476392	0.000507591
128	0.000675042	0.000641937
129	0.000200061	0.000416515
130	0.000520318	0.000488938
131	0.000646388	0.000520648
132	0.000482892	0.000420981
133	0.000575047	0.00050469
134	0.000512886	0.000517291
135	0.000616852	0.000579204
136	0.000595243	0.000450946
137	0.000471749	0.000472129
138	0.000452087	0.000397761
139	0.000329904	0.000441833
140	0.000583643	0.000583371
141	0.000573029	0.000631751
142	0.000622967	0.000514162
143	0.000522009	0.000467445
144	0.000513886	0.000586528
145	0.000426834	0.000542006
146	0.000210556	0.000434967
147	0.000697505	0.000550973
148	0.001150479	0.000998429
149	0.001719507	0.0016089
150	0.001908843	0.001891951
151	0.001287277	0.001516542
152	0.000607339	0.000712937
153	0.000548017	0.000512527
154	0.000798262	0.000610012
155	0.000474116	0.000486549
156	0.000596565	0.000554762
157	0.000531172	0.000570409
158	0.000342919	0.000516591
159	0.000558899	0.000545979
160	0.000535056	0.000518274
161	0.000613827	0.000559043
162	0.000481924	0.000501825
163	0.000514955	0.000710518
164	0.000594431	0.000588374
165	0.000402447	0.000348831
166	0.000412154	0.000419331
167	0.000541747	0.000547495
168	0.000605661	0.000549556
169	0.000666498	0.000763473
170	0.000477911	0.00045038
171	0.000540762	0.000517181
172	0.000673407	0.000684175
173	0.000947173	0.000849761
174	0.000730161	0.000664974
175	0.000287526	0.000506662
176	0.001347921	0.001037284
177	0.001224445	0.000852725
178	0.000788446	0.00057323
179	0.000591016	0.000607595
180	0.00083515	0.00101588
181	0.001310336	0.001268264
182	0.001446902	0.00148384
183	0.001045256	0.001066301
184	0.000914035	0.000790101
185	0.000448545	0.000454048
186	0.000579287	0.000565721
187	0.000568081	0.000521043
188	0.000839044	0.000741694
189	0.000626052	0.000652239
190	0.000482513	0.000479317
191	0.00064121	0.000625835
192	0.000713529	0.000612701
193	0.00049898	0.000553873
194	0.000537742	0.000670375
195	0.002104979	0.001321188
196	0.001484432	0.000988615
197	0.000390416	0.00042021
198	0.000351733	0.000428325
199	0.000419239	0.000461868
200	0.000590489	0.000540587
201	0.000937325	0.001014113
202	0.000709929	0.000855589
203	0.000182542	0.000484768
204	0.000677283	0.000593181
205	0.000619398	0.000595496
206	0.000688366	0.000589191
207	0.000288348	0.000345778
208	0.000423692	0.000525513
209	0.000668702	0.000595727
210	0.000395234	0.00035374
211	0.000343261	0.000498492
212	0.001126884	0.001017228
213	0.000579664	0.000726
214	0.001003737	0.000896424
215	0.002553228	0.001027942
216	0.000649718	0.000605205
217	0.000550568	0.000463835
218	0.000441967	0.000503087
219	0.000512961	0.000554303
