x,y,z
x,y,z
38.0678,26.1895,-74.4814,
39.788,25.2775,-74.1425,
40.3936,24.8696,-73.765,
39.1305,25.513,-74.3578,
37.2588,26.4764,-74.335,
38.4481,25.8461,-74.4703,
40.8943,24.5154,-73.801,
37.6645,26.1748,-74.3553,
39.4901,25.203,-74.1938,
40.078,24.8526,-73.8886,
38.7956,25.4988,-74.445,
38.0312,25.8234,-74.4547,
39.1488,25.2193,-74.3281,
40.4438,24.5103,-73.7772,
39.7353,24.8512,-73.9733,
37.2559,26.1216,-74.3403,
38.4907,25.4667,-74.482,
40.8168,24.2362,-73.727,
38.802,25.2462,-74.43,
39.4586,24.8569,-74.1886,
37.6195,25.7966,-74.3654,
40.0337,24.5014,-73.7494,
36.8714,26.1301,-74.3714,
38.1228,25.4608,-74.5392,
40.4365,24.1745,-73.7671,
38.4715,25.1642,-74.4704,
37.2949,25.7808,-74.3726,
39.7191,24.4998,-73.9546,
39.0935,24.8162,-74.2378,
37.6902,25.4439,-74.4506,
39.4476,24.5215,-74.164,
38.1784,25.1219,-74.5538,
38.7442,24.7937,-74.2427,
36.8805,25.759,-74.3636,
40.0099,24.1207,-73.7371,
39.1221,24.4856,-74.2595,
38.4189,24.8405,-74.5215,
37.2902,25.4282,-74.4086,
39.7693,24.1389,-73.9634,
37.8064,25.0751,-74.5404,
40.3898,23.7371,-73.6658,
40.1252,23.8651,-73.7818,
40.6932,23.5427,-73.6735,
38.1506,24.8106,-74.5224,
38.8108,24.4342,-74.3853,
36.9441,25.4052,-74.4773,
39.4151,24.1001,-74.0469,
40.4644,23.508,-73.69,
39.8124,23.8204,-74.0685,
38.4549,24.498,-74.407,
37.41,25.0404,-74.534,
37.7782,24.8135,-74.501,
39.1005,24.0994,-74.1662,
36.6033,25.3926,-74.5064,
38.1613,24.5104,-74.4795,
40.1358,23.4645,-73.9004,
37.0457,25.0548,-74.5368,
38.8014,24.1403,-74.3654,
37.4592,24.7698,-74.4514,
39.3568,23.7741,-74.0959,
40.4339,23.1845,-73.7634,
39.8338,23.4562,-74.0817,
38.4489,24.133,-74.3629,
36.6183,25.0632,-74.5709,
37.7573,24.4587,-74.4329,
38.9713,23.7825,-74.1835,
37.0789,24.7493,-74.4873,
40.1394,23.1196,-73.8911,
39.4316,23.4847,-74.0888,
36.5415,24.9531,-74.2023,
37.3978,24.472,-74.4198,
39.1699,23.5431,-74.2936,
38.0803,24.0995,-74.3879,
38.721,23.6905,-74.1234,
39.7941,23.099,-73.9762,
36.6111,24.7043,-74.4349,
38.7829,23.5684,-74.4047,
37.7154,24.0841,-74.381,
38.4115,23.7182,-74.2311,
37.0365,24.3981,-74.4104,
40.1749,22.7373,-73.9446,
39.4722,23.073,-74.2132,
36.3515,24.6696,-74.384,
38.0851,23.734,-74.4102,
39.3116,23.0739,-74.634,
36.2155,24.6856,-74.4929,
37.36,24.0826,-74.4045,
39.8482,22.7277,-74.056,
38.4032,23.476,-74.3503,
38.0393,28.8812,-74.2545,
36.9986,29.4274,-74.1415,
37.4098,29.1759,-74.2425,
34.2551,30.8253,-73.9142,
35.8445,29.9752,-74.0254,
34.7196,30.4975,-73.9723,
36.2828,29.6118,-74.0969,
37.863,28.758,-74.2534,
36.6551,29.3619,-74.1585,
35.5811,29.8715,-73.848,
37.0515,29.0718,-74.161,
34.3352,30.4692,-73.9781,
35.952,29.5853,-74.0012,
37.4561,28.7861,-74.303,
35.2517,29.8723,-73.9211,
36.3178,29.2997,-74.0564,
37.8545,28.4202,-74.3548,
36.7296,29.0028,-74.1639,
33.9725,30.4476,-73.9893,
35.6359,29.5477,-73.8543,
36.0533,29.2631,-73.9896,
34.9023,29.828,-73.9941,
37.0836,28.6679,-74.2169,
36.4053,28.9876,-74.1204,
35.2786,29.5619,-74.0469,
37.5526,28.2835,-74.2829,
34.107,30.0901,-74.0039,
35.6494,29.2419,-74.0839,
36.7907,28.6424,-74.1932,
34.5431,29.811,-74.0623,
36.0682,28.9435,-74.0813,
37.15,28.3222,-74.1726,
33.7832,30.0769,-74.0094,
35.332,29.2616,-74.2172,
36.4755,28.6338,-74.1202,
34.9458,29.4229,-74.0101,
37.554,27.9846,-74.2061,
34.1825,29.7436,-74.0574,
35.6959,28.9485,-74.1738,
34.609,29.4464,-74.1168,
36.1016,28.6166,-74.1956,
33.8397,29.7491,-74.0938,
37.2194,27.9689,-74.1833,
36.5006,28.3199,-74.2441,
35.3731,28.9006,-74.2142,
34.2475,29.4393,-74.1396,
33.6283,29.7589,-74.1091,
34.8749,29.0622,-74.0808,
36.1823,28.3056,-74.2872,
35.7592,28.498,-74.0971,
37.59,27.5311,-74.3749,
36.9362,27.8757,-74.1131,
34.7231,29.0202,-74.1303,
33.9367,29.4134,-74.1748,
37.183,27.6513,-74.2898,
36.5534,27.9549,-74.2592,
34.3329,29.1155,-74.2018,
34.9252,28.7372,-74.0706,
33.6283,29.4008,-74.2269,
35.4161,28.4531,-74.1207,
34.8159,28.7092,-74.1041,
36.1986,27.9453,-74.2736,
35.7324,28.1471,-74.108,
33.9468,29.0532,-74.2449,
37.0888,27.3841,-74.2598,
35.0616,28.4087,-74.1732,
34.411,28.7461,-74.287,
36.6123,27.5956,-74.2558,
35.474,28.1259,-74.1525,
37.0591,27.2647,-74.1913,
34.7915,28.4342,-74.1677,
35.8432,27.873,-74.2388,
36.2409,27.5952,-74.3547,
33.6738,28.9342,-74.2329,
35.1454,28.1009,-74.1486,
33.9401,28.6941,-74.3055,
36.8803,27.1426,-74.4169,
36.6676,27.245,-74.3084,
33.3089,28.9947,-74.4515,
35.5101,27.818,-74.2263,
34.4589,28.356,-74.2982,
35.9084,27.5271,-74.2791,
33.7201,28.6223,-74.3469,
34.8322,28.0362,-74.2347,
34.0611,28.3937,-74.3817,
36.2957,27.1972,-74.3741,
35.1396,27.7539,-74.2547,
35.5661,27.48,-74.3005,
36.8488,26.8044,-74.3294,
34.4944,28.0219,-74.2748,
33.3645,28.5576,-74.4383,
33.6456,28.4007,-74.3446,
35.9585,27.1432,-74.3336,
34.8495,27.692,-74.2821,
34.1194,28.0548,-74.3758,
36.3509,26.8463,-74.3896,
35.1945,27.4073,-74.2901,
34.5882,27.6963,-74.274,
35.6165,27.1154,-74.3286,
36.8806,26.4431,-74.3493,
32.9416,28.4645,-74.3408,
34.9101,27.4289,-74.286,
36.0078,26.8066,-74.3804,
33.7123,27.9965,-74.4321,
33.3661,28.1532,-74.4098,
34.1555,27.7097,-74.4765,
35.2889,27.1079,-74.3817,
36.4093,26.4872,-74.3757,
33.0521,28.2449,-74.2273,
36.5085,26.4148,-74.3619,
34.5701,27.4236,-74.4302,
33.4306,27.9493,-74.3966,
35.6696,26.7658,-74.3796,
34.9375,27.0985,-74.4806,
36.0587,26.4556,-74.4221,
33.758,27.58,-74.4681,
33.0312,27.9381,-74.498,
35.3389,26.7331,-74.4168,
32.6891,28.1144,-74.3012,
