,NodeTag,x,y,z
0,0,-23.9233,31.2218,0
1,1,40.0767,31.2218,0
2,2,-23.9233,-32.7782,0
3,3,40.0767,-32.7782,0
4,4,-27.9233,31.2218,0
5,5,-27.9233,-32.7782,0
6,6,44.0767,-32.7782,0
7,7,44.0767,31.2218,0
8,8,39.0766999999979,31.2218,0
9,9,38.0766999999958,31.2218,0
10,10,37.0766999999937,31.2218,0
11,11,36.0766999999916,31.2218,0
12,12,35.0766999999895,31.2218,0
13,13,34.0766999999874,31.2218,0
14,14,33.0766999999853,31.2218,0
15,15,32.0766999999846,31.2218,0
16,16,31.076699999988,31.2218,0
17,17,30.0766999999915,31.2218,0
18,18,29.0766999999949,31.2218,0
19,19,28.0766999999983,31.2218,0
20,20,27.0767000000018,31.2218,0
21,21,26.0767000000052,31.2218,0
22,22,25.0767000000087,31.2218,0
23,23,24.0767000000121,31.2218,0
24,24,23.0767000000156,31.2218,0
25,25,22.076700000019,31.2218,0
26,26,21.0767000000225,31.2218,0
27,27,20.0767000000259,31.2218,0
28,28,19.0767000000294,31.2218,0
29,29,18.0767000000328,31.2218,0
30,30,17.0767000000363,31.2218,0
31,31,16.0767000000397,31.2218,0
32,32,15.0767000000432,31.2218,0
33,33,14.0767000000466,31.2218,0
34,34,13.07670000005,31.2218,0
35,35,12.0767000000535,31.2218,0
36,36,11.0767000000569,31.2218,0
37,37,10.0767000000604,31.2218,0
38,38,9.07670000006383,31.2218,0
39,39,8.07670000006659,31.2218,0
40,40,7.07670000006517,31.2218,0
41,41,6.07670000006307,31.2218,0
42,42,5.07670000006097,31.2218,0
43,43,4.07670000005886,31.2218,0
44,44,3.07670000005677,31.2218,0
45,45,2.07670000005466,31.2218,0
46,46,1.07670000005256,31.2218,0
47,47,0.0767000000504581,31.2218,0
48,48,-0.923299999951645,31.2218,0
49,49,-1.92329999995375,31.2218,0
50,50,-2.92329999995585,31.2218,0
51,51,-3.92329999995795,31.2218,0
52,52,-4.92329999996005,31.2218,0
53,53,-5.92329999996215,31.2218,0
54,54,-6.92329999996426,31.2218,0
55,55,-7.92329999996636,31.2218,0
